Column1;Column2;Column3
gugi manggara;4 years ago;Maybe the biggest zoo in Indonesia. It's a great place to bring your family for a vacation. Let the children explore animal kingdom, land or sea, insects, birds, reptiles, and more. The animal museum quiet entertain with dioramas
Muhammad Hanif;5 years ago;A huge zoo in the highland like Taman Safari. Really recommended place to hangout with family
Anna Sui;3 years ago;Nice place and zoo, good for family trip 👌👍😊 …
Luthfiana Intishar;6 years ago;Its good for education. Its good for holiday too. There is museum too. And the zoo is excellent. Kinda want to visit there again. …
Adhika;2 years ago;There's a lot of unique animal, the price is fair enough
L S;6 years ago;Hotel staffs quite friendly.. overall design building for the public space is very nice. But the room itself is NOT worthed for IDR 1.100.000/ night. Thank God I spent only 1 night as the noise from outside is very strong! This hotel will …
Toerhthangquor Joyotu;a year ago;It was one of the best experiences in Indonesia so far. I enjoyed all the things there. …
Irsan Fadjri;7 years ago;Batu Secret Zoo is recommended place to visit here. Don't forget to rent the electric scooter, as it could save your stamina when go around this spacious place. But, be aware, during holiday/peak season, sometimes there is none of scooter available for rent due to have been rent by others.
Lilvan;4 years ago;I didn't expect that at all,  im well educated, both from history of the animals and i know more about those bugs i never know
Edy S;6 years ago;good place for family recreation and education
Paul Gunawan;5 years ago;All I know is about Batu Secret Zoo Jawa Timur Park 2. You can see various animals here, not only mammals but reptiles and fishies, few birdies (you should visit Eco Green Park to see birdies). You can feed certain animals (with scheduled …
Kania Susan Pramesti;6 years ago;I think I'm loving this place too much. I mean, how can a place with three different attractions with animals is so unforgettable? The animals are so cute and wow-ing and the way Jatim Park 2 displaying the charms of their animals is just so wow. I can't stop admiring till now. Love it so much <3
Daniel Moningka;7 years ago;Do you ever watch Night At The Museum? Nah, this one is really looks the same with the film! One of the best museum in Indonesia. You can explore lots of things here. Really recommended for young kids and family.
Frisca Tita Kusuma Ningrum;a year ago;"A good place to visit, to expand knowledges and experiences, a very large place too!
Food stalls, clean toilets, loving every details inside Jatim Park 2"
Arie Soecarji;4 months ago;Ok
Zaleha Hassan;7 years ago;The place was simply too massive, it has the largest selection of animals from all over the word. Many species of     animals such as the primates kingdom,  cats family, fishes, birds, and many more were on display. A very good place to learn and bring your children.
Budi Wibowo;5 years ago;Well known as Secret Zoo. The best zoo in the country
agus priyono;4 years ago;One of the best time that I've ever had for spending holiday in Batu Malang. The zoo is nice and clean, with so many rare animal, open at 10 AM, 120k Rupiah for zoo and museum ticket
rizky septian;6 years ago;a perfect place to go with your family.  especially if you want to know more about animals.
Mr. DIY 77th;5 months ago;Ok
dedep ihsan;6 years ago;Recommended family vacation... Fun, education, recreation..
Adri Febrianto;4 years ago;Most area of this place is a modern zoo. A few rides and waterplay are present halfway through. So far, this is the best and widest zoo in Indonesia. Collections are countless, path is clearly marked, facilitues are adequate.
sepora miga;3 years ago;Fixed destination to see a lot of animals , but 1 thing that makes u feel sad the most is all the animal looks starving we came there around 12 pm until 4 pm , and they dont have promo for the bikes , and the lactation room is dusty at ALL …
Khairul Habib;5 years ago;A complete fun, well theme, and educational park for family. This recreational gem has a lot to offer, starting from epic animal museum, huge variety of instagramable spots, so much animal to see and learn, and exiting ride or simulation. …
netta lionora;6 years ago;Great place to see many animals from the entire world.. if you want to complete walk in this park, you need go early. Because so many places, you will be excited. From 'eco green park' , animals museum, you can take a photo with parrot or …
Aan Eko Saputro;7 years ago;First time to Visit Jatim Park 2 was amazing. At the entry i thought it was too dear to pay such that money, but when we finished the whole journey at Jatim Park 2, i'm really satisfied. Great for family trip.
Andina Agita;5 years ago;Awesome place for kids and also the parents
Devi Adelina;6 years ago;"One of the interesting places I've ever visited.

You need to manage your time to see all the good places here. Plan your time, …"
Elvira Nurul Arifa;6 years ago;A well-maintained animal-themed park, unlike other zoos in Indonesia. You can find some distinctive animals here, mostly from l tropical countries, e.g. zebras. The good thing is you can rent e-bike (three wheels electric bike which mostly for older people), because this park is so vast.
tasya fiane;6 years ago;They had an amazing museum. Nice facilities for you who don't want to walk around the secret zoo. Some cages are empty and i hope the animals get a good sustainability care
J Gunadi;6 years ago;A quite large park. First you'll explore the zoo with many healthy animals. After a long walk in the zoo, you'll find a spacious food court and children's amusement park with many attractions and rides. Considerably cheap ticket price.
Fenty Windyanurkarina;3 years ago;Good place for time traveling...
YUKIE GUVITHA;5 years ago;The best amusement park so far in East Java. The animals are mesmerizing, children playground is fantastic. It is outdoor, so avoid to come in the rainy season. One of the disadvantage (which is common in amusement park) is their food, it is pricey with ordinary taste.
Krist Atmojo;6 years ago;Good place for family vacation.We can find many animal that we never saw at another zoo. You have to spare a whole day to visit this secret zoo. Don't too late, you will lose many attraction, and zone.
Agus Kurniadi;5 years ago;Big area with many animal2 and plants
Satya Bunga;7 years ago;The best vacation destination in malang this far, so enjoyed our time there, really large area, food stand like in every corner, the ticket was in a good price, toilet was clean, staff was friendly, but unfortunately the fried chicken they …
SLW AW;5 years ago;Good place for family and kids education. The concept is great and makes the customer feel comfort to walking around that place. So many animal species in that zoo. There are playzone and some eatery there.
